Designator,Mid X,Mid Y,Layer,Rotation
ANT1, 7.70,22.95,Bottom,90.0
ANT2,12.10,22.95,Top,90.0
C1,13.92, 8.60,Bottom,180.0
C2, 6.40, 6.00,Top,90.0
C3, 8.05, 6.00,Top,90.0
C4, 9.70, 6.00,Top,90.0
C5, 2.90, 8.80,Bottom,180.0
C6, 5.20,21.70,Bottom,90.0
C7, 7.90,21.20,Bottom,180.0
C8,12.98,17.18,Bottom,90.0
C9, 8.80,13.00,Top,180.0
C10,14.80,21.00,Bottom,90.0
C12,13.95,12.65,Bottom,180.0
C13, 4.70,21.60,Top,270.0
C14, 6.00,21.60,Top,270.0
C15, 5.30,18.75,Top,0.0
C16, 5.30,15.00,Top,180.0
C17,10.50,15.60,Top,180.0
C18,14.60,17.20,Top,90.0
C19,13.50,14.70,Top,180.0
C20, 4.50, 3.39,Top,180.0
C21,12.30, 3.39,Top,180.0
D1,11.70,11.65,Top,180.0
IC1, 8.50, 6.00,Bottom,270.0
L1,12.70,17.00,Top,90.0
LED1, 4.00,12.50,Top,90.0
R1,11.30,21.70,Bottom,180.0
R2,11.20, 8.90,Bottom,180.0
R3,11.30,11.40,Bottom,0.0
R4,13.95,11.51,Bottom,0.0
U1, 8.80,17.00,Bottom,180.0
U2, 9.30,19.00,Top,270.0
U3, 4.25, 5.40,Top,180.0
U4,12.04, 5.40,Top,180.0
Y1, 9.05,22.60,Top,90.0
Y2, 5.30,16.90,Top,0.0
