Designator,Mid X,Mid Y,Layer,Rotation
ANT1, 9.00,25.95,Bottom,90.0
ANT2,13.40,25.95,Top,90.0
C1,10.60, 7.40,Bottom,270.0
C2,12.90,11.12,Bottom,90.0
C3, 9.00, 9.90,Top,90.0
C4,16.30,13.00,Bottom,180.0
C5, 1.70, 4.30,Bottom,180.0
C6, 1.70, 5.90,Bottom,180.0
C7, 1.70, 7.50,Bottom,180.0
C8, 3.90, 8.70,Bottom,270.0
C9,16.40, 7.15,Bottom,180.0
C10,16.40, 5.55,Bottom,180.0
C11,16.40, 3.95,Bottom,180.0
C12, 6.50,24.70,Bottom,90.0
C13, 9.20,24.20,Bottom,180.0
C14,14.28,20.18,Bottom,90.0
C15,10.10,16.00,Top,180.0
C16,16.10,24.00,Bottom,90.0
C18,15.25,15.65,Bottom,180.0
C19, 6.00,24.60,Top,270.0
C20, 7.30,24.60,Top,270.0
C21, 6.60,21.75,Top,0.0
C22, 6.60,18.00,Top,180.0
C23,11.80,18.60,Top,180.0
C24,15.90,20.20,Top,90.0
C25,14.80,17.70,Top,180.0
C26, 3.80, 3.39,Top,180.0
C27,14.20, 3.39,Top,180.0
D1,11.30,10.20,Bottom,90.0
D2,13.00,14.65,Top,180.0
IC1, 8.50, 6.60,Bottom,90.0
L1,12.60, 7.90,Bottom,180.0
L2,14.00,20.00,Top,90.0
LED1, 5.30,15.50,Top,90.0
R1,12.60,24.70,Bottom,180.0
R2, 2.90,12.40,Bottom,0.0
R3,12.60,14.40,Bottom,0.0
R4,15.25,14.51,Bottom,0.0
U1,10.10,20.00,Bottom,180.0
U2,10.60,22.00,Top,270.0
U3, 5.30, 7.50,Top,0.0
U4,12.70, 7.50,Top,0.0
Y1,10.35,25.60,Top,90.0
Y2, 6.60,19.90,Top,0.0
